Comment,Designator,Footprint,LCSC
SN74LV1T34DBV,U5,SOT-23-5,C100024
5.1k,"R1,R2,R3,R4,R5,R6",R_0402_1005Metric,C105872
500mA,F1,Fuse_1206_3216Metric,C135341
10uF,C2,C_0603_1608Metric,C19702
PRTR5V0U2X,U2,SOT-143,C2827688
SW_SPST,"BOOT1,RST1",SW_SPST_TL3342,C2886897
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C2988369
100nF,"C1,C3,C4,C5,C6,C7,C8",C_0402_1005Metric,C307331
1uF,"C10,C9",C_0402_1005Metric,C52923
XC6206PxxxMR-Regulator_Linear,U3,SOT-23,C5446
D_Small,"D1,D2,D3,D4,D5,D6,D7,D8,D9",D_SOD-123,C81598
STM32F072CBT6,U1,LQFP-48_7x7mm_P0.5mm,C81720
MX_SW_solder,MX4,SW_MX_1u,
MX_SW_solder,MX8,SW_MX_1u,
MX_SW_solder,MX7,SW_MX_1u,
MX_SW_solder,MX3,SW_MX_1u,
MX_SW_solder,MX6,SW_MX_1u,
MX_SW_solder,MX1,SW_MX_1u,
MX_SW_solder,MX2,SW_MX_1u,
MX_SW_solder,MX5,SW_MX_1u,
